Statistical Parity Difference,Equal Opportunity Difference,Average Odds Difference,Disparat Impact,thresh
0.054,0.002,0,1.082,0.01
0.053,0.004,0,1.087,0.0198989898989899
0.033,0.004,0,1.058,0.029797979797979796
0.034,0.006,0,1.063,0.039696969696969696
0.018,0.006,0,1.034,0.049595959595959596
0.024,0.006,0,1.049,0.059494949494949496
0.011,0.006,0,1.024,0.06939393939393938
-0.012,0.006,0,0.972,0.07929292929292929
-0.034,0.006,0,0.922,0.08919191919191918
-0.029,0.006,0,0.929,0.09909090909090908
-0.028,0.006,0,0.928,0.10898989898989898
-0.028,-0.007,0,0.923,0.11888888888888888
-0.03,-0.018,0,0.914,0.12878787878787878
-0.027,-0.031,0,0.919,0.1386868686868687
-0.023,-0.031,0,0.928,0.1485858585858586
-0.028,-0.038,0,0.912,0.15848484848484848
-0.021,-0.036,0,0.93,0.16838383838383839
-0.021,-0.043,0,0.928,0.1782828282828283
-0.021,-0.049,0,0.928,0.18818181818181817
-0.022,-0.049,0,0.923,0.19808080808080808
-0.016,-0.047,0,0.94,0.207979797979798
-0.016,-0.041,0,0.938,0.21787878787878787
-0.011,-0.03,0,0.959,0.22777777777777777
-0.012,-0.033,0,0.955,0.23767676767676768
-0.009,-0.033,0,0.964,0.24757575757575756
-0.012,-0.034,0,0.951,0.25747474747474747
-0.012,-0.026,0,0.949,0.2673737373737374
-0.012,-0.022,0,0.949,0.2772727272727273
-0.012,-0.016,0,0.949,0.2871717171717172
-0.01,-0.006,0,0.956,0.29707070707070704
-0.013,0.003,0,0.941,0.30696969696969695
-0.015,0.002,0,0.933,0.31686868686868686
-0.014,0.017,0,0.937,0.32676767676767676
-0.015,0.016,0,0.932,0.33666666666666667
-0.017,0.005,0,0.921,0.3465656565656566
-0.018,-0.002,0,0.913,0.3564646464646465
-0.015,0.006,0,0.929,0.36636363636363634
-0.012,0.019,0,0.943,0.37626262626262624
-0.011,0.021,0,0.944,0.38616161616161615
-0.009,0.033,0,0.954,0.39606060606060606
-0.008,0.033,0,0.96,0.40595959595959596
-0.005,0.044,0,0.974,0.41585858585858587
-0.006,0.043,0,0.971,0.4257575757575757
-0.006,0.043,0,0.97,0.43565656565656563
-0.005,0.049,0,0.972,0.44555555555555554
-0.005,0.046,0,0.972,0.45545454545454545
-0.002,0.05,0,0.988,0.46535353535353535
-0.001,0.052,0,0.996,0.47525252525252526
-0.001,0.047,0,0.993,0.4851515151515151
0.001,0.051,0,1.003,0.495050505050505
0.0,0.047,0,1.0,0.5049494949494949
0.001,0.044,0,1.006,0.5148484848484849
-0.001,0.038,0,0.992,0.5247474747474747
-0.001,0.042,0,0.995,0.5346464646464646
0.001,0.048,0,1.008,0.5445454545454546
0.003,0.054,0,1.016,0.5544444444444444
0.003,0.056,0,1.016,0.5643434343434344
0.004,0.06,0,1.025,0.5742424242424242
0.006,0.068,0,1.036,0.5841414141414141
0.005,0.07,0,1.031,0.594040404040404
0.006,0.074,0,1.039,0.6039393939393939
0.007,0.083,0,1.046,0.6138383838383838
0.008,0.087,0,1.052,0.6237373737373737
0.009,0.091,0,1.058,0.6336363636363637
0.01,0.093,0,1.064,0.6435353535353535
0.011,0.097,0,1.07,0.6534343434343434
0.012,0.108,0,1.084,0.6633333333333333
0.011,0.099,0,1.072,0.6732323232323232
0.01,0.092,0,1.066,0.6831313131313131
0.011,0.094,0,1.076,0.693030303030303
0.012,0.098,0,1.083,0.702929292929293
0.011,0.093,0,1.078,0.7128282828282828
0.012,0.099,0,1.088,0.7227272727272727
0.011,0.09,0,1.082,0.7326262626262626
0.01,0.086,0,1.076,0.7425252525252525
0.012,0.089,0,1.087,0.7524242424242424
0.011,0.085,0,1.085,0.7623232323232323
0.01,0.08,0,1.079,0.7722222222222221
0.013,0.09,0,1.098,0.7821212121212121
0.008,0.074,0,1.063,0.792020202020202
0.007,0.074,0,1.053,0.8019191919191919
0.008,0.08,0,1.065,0.8118181818181818
0.004,0.058,0,1.029,0.8217171717171717
0.005,0.062,0,1.04,0.8316161616161616
-0.003,0.031,0,0.977,0.8415151515151514
-0.005,0.017,0,0.955,0.8514141414141414
-0.005,0.013,0,0.954,0.8613131313131313
-0.004,0.019,0,0.965,0.8712121212121212
-0.005,0.016,0,0.96,0.8811111111111111
-0.0,0.035,0,0.999,0.891010101010101
-0.002,0.026,0,0.986,0.9009090909090909
0.001,0.036,0,1.007,0.9108080808080807
0.005,0.057,0,1.05,0.9207070707070707
0.0,0.032,0,1.002,0.9306060606060605
-0.005,0.003,0,0.948,0.9405050505050505
-0.012,-0.029,0,0.88,0.9504040404040404
-0.01,-0.023,0,0.894,0.9603030303030302
-0.011,-0.031,0,0.875,0.9702020202020202
-0.017,-0.064,0,0.78,0.98010101010101
-0.021,-0.089,0,0.689,0.99
